id,P2,P3,P4,P5,P6,P7,P8,P9,P10,F1,F2,F3,F4,F5,F6,F7,S1,A1,A2,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11
0,Urban,Female,22,Bengali,Graduate,"> 60,000",With friends. colleagues or students,Graduate,Postgraduate,someone else,never,no record,Putting money in a savings/deposits account,no income,invest in assets,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,buy beverage,Multiple businesses/investment,No interest,less than 110,not sure
1,Urban,Male,22,Bengali,Graduate,"< 20,000",With friends. colleagues or students,Graduate,Graduate,me,sometimes,spreadsheet or other tools,Giving money to family to save on your behalf,no income,keep in bank account,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, House, Art works, Child support",not sure,not sure,not sure,save it,cheaper model,buy beverage,Not sure,Not sure,not sure,not sure
2,Urban,Male,21,English,Graduate,"> 60,000","With children under the age of 18, With other adult relatives",12th pass,12th pass,someone else,sometimes,notes,"Saving cash at home, Putting money in a savings/deposits account, Giving money to family to save on your behalf, Buying bonds or time deposits",10% - 50%,keep in bank account,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Car, House, Art works",not sure,not sure,not sure,save it,expensive model,keep it,Multiple businesses/investment,Not sure,not sure,not sure
3,Urban,Female,23,English,Graduate,"> 60,000",With other adult relatives,Postgraduate,Graduate,me with someone else,sometimes,spreadsheet or other tools,Putting money in a savings/deposits account,no income,keep in bank account,,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, House",< 2 lakh,100 plus 3pct,"25,000",save it,cheaper model,buy beverage,Multiple businesses/investment,No interest,not sure,less than today
4,Rural,Male,21,Bengali,Graduate,"20,000 - 40,000",Alone,10th pass or less,Graduate,someone else,each month,spreadsheet or other tools,Putting money in a savings/deposits account,10% - 50%,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",< 2 lakh,100 plus 3pct,not sure,save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,same as today
5,Rural,Male,20,English,Graduate,"> 60,000",With other adult relatives,Graduate,Postgraduate,someone else,never,no record,Investing in stocks and shares,no income,invest in assets,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, Car, Art works",lose money,100 plus 3pct,"15,000",spend it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,less than today
6,Rural,Male,21,English,Graduate,"20,000 - 40,000",With other adult relatives,Postgraduate,Postgraduate,someone else,sometimes,notes,Putting money in a savings/deposits account,no income,keep in bank account,,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House",< 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,buy beverage,Multiple businesses/investment,No interest,exactly 110,less than today
7,Urban,Male,22,English,Graduate,"> 60,000",With friends. colleagues or students,Postgraduate,Postgraduate,someone else,sometimes,no record,Putting money in a savings/deposits account,no income,unable to save,>= 1 month but < 3 months,Check the balance and transactions of my bank account online,Debit card,You buy the first set.,"Car, House",2 lakh,100 plus 3pct,"30,000",spend it,cheaper model,buy beverage,Multiple businesses/investment,No interest,more than 110,less than today
8,Urban,Male,22,Bengali,Graduate,"> 60,000",With friends. colleagues or students,Postgraduate,Graduate,someone else,each month,spreadsheet or other tools,Investing in stocks and shares,< 5%,keep in bank account,< 1 week,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, Car, House, Loan",lose money,100 plus 3pct,"25,000",spend it,cheaper model,buy beverage,Multiple businesses/investment,No interest,not sure,not sure
9,Urban,Female,21,English,12th pass,"> 60,000",With other adult relatives,Graduate,Graduate,someone else,never,no record,Buying bonds or time deposits,10% - 50%,invest in assets,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, House, Art works",2 lakh,not sure,not sure,save it,cheaper model,keep it,Not sure,Not sure,not sure,not sure
10,Urban,Female,20,Bengali,Graduate,"> 60,000",Alone,Postgraduate,Graduate,me,sometimes,no record,"Saving cash at home, Putting money in a savings/deposits account, Investing in stocks and shares",no income,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, House",not sure,not sure,not sure,save it,cheaper model,keep it,Multiple businesses/investment,No interest,not sure,not sure
11,Urban,Female,20,English,Graduate,"> 60,000",With other adult relatives,Postgraduate,Graduate,someone else,each month,notes,"Putting money in a savings/deposits account, Giving money to family to save on your behalf",10% - 50%,keep in bank account,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House, Loan",< 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today
12,Urban,Male,22,English,Graduate,"> 60,000",With other adult relatives,Graduate,Graduate,someone else,never,no record,"Putting money in a savings/deposits account, Investing in stocks and shares",no income,invest in assets,>= 3 months bu < 6 month,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House",lose money,100 plus 3pct,"30,000",save it,cheaper model,buy beverage,Multiple businesses/investment,No interest,more than 110,less than today
13,Urban,Male,21,English,12th pass,"20,000 - 40,000",With other adult relatives,Graduate,Graduate,me with someone else,each month,notes,"Saving cash at home, Putting money in a savings/deposits account",5% - 10%,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",2 lakh,100 plus 3pct,"30,000",spend it,cheaper model,keep it,Multiple businesses/investment,No interest,exactly 110,less than today
14,Urban,Female,35,English,Graduate,"> 60,000","With children under the age of 18, With other adult relatives",Postgraduate,Postgraduate,me with someone else,never,no record,"Putting money in a savings/deposits account, Investing in stocks and shares",< 5%,spend on shopping,< 1 week,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, House, Art works",lose money,100 plus 3pct,"15,000",spend it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today
15,Urban,Male,23,English,Graduate,"> 60,000",With other adult relatives,Ph.D.,Postgraduate,someone else,never,no record,Putting money in a savings/deposits account,10% - 50%,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House, Loan, Art works",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,same as today
16,Urban,Male,21,English,Graduate,"> 60,000","With friends. colleagues or students, With other unrelated adults",Postgraduate,Graduate,me,sometimes,spreadsheet or other tools,Putting money in a savings/deposits account,no income,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Credit card,You buy the second set.,"Jewellery, House, Art works, Child support",lose money,100 plus 3pct,"15,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today
17,Urban,Female,21,English,12th pass,"> 60,000",With other adult relatives,Postgraduate,Graduate,someone else,sometimes,spreadsheet or other tools,"Putting money in a savings/deposits account, Investing in stocks and shares",10% - 50%,invest in assets,>= 3 months bu < 6 month,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",lose money,105,not sure,save it,cheaper model,keep it,Multiple businesses/investment,No interest,exactly 110,not sure
18,Urban,Male,21,English,Graduate,"20,000 - 40,000",With friends. colleagues or students,Graduate,Postgraduate,me,each month,notes,Saving cash at home,no income,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, House, Art works",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today
19,Urban,Male,21,Bengali,Graduate,"20,000 - 40,000",With other adult relatives,Graduate,Graduate,someone else,each month,no record,"Saving cash at home, Putting money in a savings/deposits account",no income,unable to save,< 1 week,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",not sure,100 plus 3pct,"30,000",spend it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today
20,Urban,Male,21,English,12th pass,"< 20,000",With friends. colleagues or students,Graduate,Graduate,me with someone else,sometimes,no record,Putting money in a savings/deposits account,no income,invest in assets,,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, House",not sure,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,not sure
22,Urban,Male,21,English,Graduate,"40,000 - 60,000",With friends. colleagues or students,Graduate,10th pass or less,me with someone else,each month,notes,"Putting money in a savings/deposits account, Investing in stocks and shares",no income,invest in assets,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",< 2 lakh,100 plus 3pct,not sure,save it,cheaper model,keep it,Multiple businesses/investment,No interest,exactly 110,less than today
23,Urban,Male,35,English,Ph.D.,"40,000 - 60,000",Alone,12th pass,10th pass or less,me,each month,notes,Putting money in a savings/deposits account,10% - 50%,keep in bank account,< 1 week,Check the balance and transactions of my bank account online,Debit card,You buy the first set.,"Jewellery, House",not sure,100 plus 3pct,"15,000",spend it,expensive model,keep it,One business/investment,Not sure,exactly 110,same as today
24,Urban,Male,20,English,12th pass,"> 60,000",With other adult relatives,Postgraduate,Graduate,me,never,no record,"Putting money in a savings/deposits account, Investing in crypto-assets,NFTs",no income,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Credit card,You buy the first set.,"Jewellery, Car, House",< 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,buy beverage,Multiple businesses/investment,No interest,more than 110,less than today
